iter	Passed	Remaining
0	1	151
1	2	145
2	4	143
3	5	133
4	7	135
5	9	147
6	11	151
7	12	148
8	14	144
9	15	140
10	16	136
11	18	136
12	20	134
13	21	133
14	23	134
15	25	134
16	26	131
17	28	129
18	29	126
19	31	124
20	32	122
21	34	121
22	35	120
23	38	120
24	39	118
25	41	116
26	42	115
27	44	113
28	45	111
29	46	109
30	48	108
31	51	108
32	52	106
33	53	104
34	55	102
35	56	101
36	58	99
37	59	97
38	61	95
39	63	94
40	65	93
41	65	90
42	67	89
43	68	87
44	70	85
45	71	83
46	72	82
47	74	80
48	77	80
49	78	78
50	80	77
51	82	75
52	83	74
53	85	72
54	86	70
55	88	69
56	89	67
57	91	66
58	94	65
59	95	63
60	96	62
61	98	60
62	100	58
63	102	57
64	105	56
65	106	55
66	108	53
67	110	51
68	112	50
69	113	48
70	115	47
71	116	45
72	119	44
73	120	42
74	122	40
75	124	39
76	125	37
77	127	35
78	129	34
79	130	32
80	133	31
81	134	29
82	136	27
83	138	26
84	139	24
85	141	23
86	143	21
87	145	19
88	147	18
89	149	16
90	150	14
91	152	13
92	154	11
93	155	9
94	157	8
95	160	6
96	161	5
97	163	3
98	165	1
99	166	0
