iter	Passed	Remaining
0	143	143505
1	145	72784
2	147	49084
3	148	37064
4	149	29822
5	150	25003
6	152	21580
7	153	18996
8	154	16991
9	155	15366
10	156	14084
11	158	13065
12	160	12210
13	162	11444
14	163	10761
15	164	10121
16	165	9565
17	166	9106
18	167	8669
19	169	8298
20	170	7962
21	172	7677
22	174	7402
23	175	7117
24	176	6880
25	177	6641
26	178	6419
27	179	6226
28	180	6045
29	181	5878
30	182	5708
31	183	5562
32	184	5416
33	186	5288
34	187	5161
35	188	5044
36	189	4931
37	190	4821
38	191	4720
39	192	4624
40	193	4527
41	194	4432
42	195	4344
43	196	4258
44	196	4175
45	197	4096
46	198	4019
47	198	3946
48	199	3876
49	200	3817
50	201	3755
51	202	3694
52	203	3634
53	204	3576
54	204	3519
55	205	3465
56	206	3412
57	206	3360
58	207	3312
59	208	3264
60	209	3218
61	209	3173
62	210	3130
63	211	3087
64	211	3047
65	212	3007
66	213	2969
67	213	2931
68	214	2897
69	215	2865
70	216	2836
71	217	2804
72	218	2771
73	218	2740
74	219	2709
75	220	2679
76	221	2649
77	221	2620
78	222	2592
79	223	2566
80	223	2539
81	224	2514
82	225	2486
83	225	2461
84	226	2438
85	227	2415
86	227	2392
87	228	2369
88	229	2348
89	230	2330
90	231	2312
91	232	2291
92	232	2271
93	233	2254
94	234	2235
95	235	2216
96	236	2197
97	236	2179
98	237	2161
99	238	2143
100	238	2126
101	239	2109
102	240	2092
103	241	2076
104	241	2060
105	242	2044
106	243	2029
107	243	2013
108	244	1998
109	245	1985
110	246	1973
111	247	1959
112	248	1946
113	248	1933
114	249	1921
115	250	1908
116	251	1895
117	251	1882
118	252	1870
119	253	1858
120	254	1846
121	254	1832
122	255	1822
123	256	1811
124	257	1801
125	258	1791
126	258	1779
127	259	1769
128	261	1763
129	262	1756
130	263	1748
131	264	1740
132	265	1733
133	267	1726
134	268	1719
135	269	1710
136	270	1701
137	271	1693
138	271	1683
139	272	1674
140	273	1664
141	273	1653
142	274	1646
143	276	1642
144	277	1635
145	278	1628
146	279	1621
147	280	1614
148	282	1610
149	283	1607
150	284	1600
151	285	1593
152	286	1585
153	287	1577
154	287	1569
155	288	1562
156	290	1558
157	291	1552
158	292	1548
159	293	1542
160	294	1534
161	295	1528
162	296	1522
163	297	1515
164	298	1509
165	298	1502
166	299	1496
167	300	1489
168	301	1482
169	302	1476
170	303	1470
171	304	1463
172	304	1457
173	306	1453
174	307	1447
175	307	1441
176	308	1435
177	309	1429
178	310	1423
179	311	1417
180	312	1412
181	313	1407
182	314	1401
183	314	1396
184	315	1390
185	316	1384
186	317	1378
187	317	1372
188	318	1366
189	319	1361
190	320	1357
191	321	1354
192	322	1349
193	323	1345
194	325	1342
195	326	1337
196	327	1333
197	328	1328
198	329	1324
199	329	1318
200	330	1313
201	331	1308
202	331	1303
203	332	1298
204	333	1293
205	334	1290
206	336	1287
207	336	1282
208	337	1278
209	338	1274
210	339	1269
211	340	1265
212	341	1260
213	342	1257
214	343	1252
215	343	1248
216	344	1243
217	345	1239
218	346	1235
219	347	1230
220	347	1225
221	348	1221
222	349	1218
223	351	1218
224	352	1215
225	353	1212
226	354	1207
227	355	1203
228	355	1198
229	356	1194
230	357	1191
231	358	1186
232	359	1182
233	359	1178
234	360	1173
235	361	1169
236	362	1165
237	362	1161
238	363	1156
239	364	1153
240	365	1151
241	367	1149
242	368	1146
243	368	1142
244	369	1139
245	370	1135
246	371	1132
247	372	1128
248	372	1124
249	373	1121
250	374	1117
251	375	1114
252	376	1111
253	377	1107
254	377	1104
255	378	1100
256	379	1097
257	380	1095
258	381	1091
259	382	1088
260	383	1084
261	383	1081
262	384	1078
263	385	1075
264	386	1071
265	387	1068
266	387	1064
267	388	1061
268	389	1057
269	389	1054
270	390	1050
271	391	1047
272	392	1044
273	392	1040
274	393	1037
275	394	1034
276	395	1031
277	396	1028
278	396	1025
279	397	1022
280	398	1019
281	399	1016
282	399	1012
283	400	1009
284	401	1006
285	401	1003
286	402	1000
287	403	996
288	403	993
289	404	990
290	405	987
291	406	985
292	407	982
293	408	980
294	409	978
295	410	975
296	411	973
297	412	970
298	412	967
299	413	964
300	414	962
301	415	959
302	415	956
303	416	953
304	417	950
305	418	948
306	418	945
307	419	942
308	420	939
309	421	937
310	421	934
311	422	931
312	423	928
313	423	926
314	424	924
315	426	922
316	427	920
317	427	917
318	428	914
319	429	912
320	430	909
321	430	907
322	431	904
323	432	901
324	433	899
325	433	896
326	434	894
327	435	892
328	436	889
329	436	887
330	437	884
331	438	882
332	439	879
333	440	877
334	441	875
335	442	873
336	442	871
337	443	868
338	444	866
339	445	864
340	445	861
341	446	859
342	447	856
343	448	854
344	449	852
345	449	850
346	450	848
347	451	845
348	452	843
349	453	841
350	453	839
351	454	836
352	455	835
353	456	833
354	457	832
355	458	830
356	459	827
357	460	825
358	461	823
359	462	821
360	462	819
361	463	817
362	464	814
363	465	812
364	465	810
365	466	808
366	467	806
367	468	804
368	469	802
369	469	799
370	470	798
371	472	796
372	473	795
373	473	793
374	474	791
375	475	789
376	476	787
377	477	786
378	478	783
379	479	781
380	480	779
381	480	777
382	481	775
383	482	773
384	483	771
385	484	769
386	484	768
387	486	766
388	487	764
389	488	763
390	488	761
391	489	759
392	490	757
393	491	755
394	492	754
395	493	752
396	493	749
397	494	748
398	495	746
399	496	744
400	497	742
401	497	740
402	498	738
403	499	736
404	500	734
405	501	733
406	502	732
407	503	730
408	504	729
409	505	727
410	506	726
411	508	725
